State,Geographic Name,Year,Median age years,Percent Male,Percent White,Percent BA or higher,Percent unemployed,Per capita income dollars
AL,Alabama,2000,36.0,47.9,71.65,20.0,6.4,40778
AK,Alaska,2000,32.6,51.14,70.65,26.0,7.8,59060
AZ,Arizona,2000,34.3,49.5,78.67,22.5,6.3,45840
AR,Arkansas,2000,36.3,48.51,80.05,16.7,6.4,39592
CA,California,2000,33.3,49.46,67.87,27.5,6.1,53096
CO,Colorado,2000,34.6,49.84,85.46,32.9,4.1,55669
CT,Connecticut,2000,37.5,48.28,83.75,33.3,4.3,65348
DE,Delaware,2000,36.5,48.46,76.18,25.3,4.3,55317
District of Columbia,District of Columbia,2000,35.4,46.6,30.06,41.0,7.8,45887
FL,Florida,2000,38.8,48.42,79.07,23.2,5.2,45326
GA,Georgia,2000,33.4,48.56,66.1,23.0,4.8,47020
HI,Hawaii,2000,36.6,49.73,24.57,27.5,6.1,59192
ID,Idaho,2000,33.9,49.58,92.92,20.9,5.9,44022
IL,Illinois,2000,34.7,48.79,75.07,26.9,5.6,55379
IN,Indiana,2000,35.4,48.88,87.38,19.8,4.1,49130
IA,Iowa,2000,36.7,49.25,94.03,22.1,4.1,47043
KS,Kansas,2000,35.5,49.33,87.36,26.7,3.5,49308
KY,Kentucky,2000,36.0,48.67,90.53,17.1,5.8,40338
LA,Louisiana,2000,34.1,48.15,64.71,19.2,7.3,38491
ME,Maine,2000,39.2,48.82,97.27,22.9,4.2,45911
MD,Maryland,2000,36.3,48.02,64.38,31.5,5.0,62513
MA,Massachusetts,2000,36.8,48.22,85.92,35.0,3.4,61552
MI,Michigan,2000,35.5,48.85,80.72,22.9,5.4,52794
MN,Minnesota,2000,35.4,49.61,89.38,27.7,3.6,57394
MS,Mississippi,2000,34.1,47.82,61.63,18.6,7.5,40167
MO,Missouri,2000,36.1,48.41,85.4,22.9,4.9,45127
MT,Montana,2000,37.6,49.72,90.91,25.2,5.3,41184
NE,Nebraska,2000,35.5,49.13,90.69,24.8,3.3,46703
NV,Nevada,2000,35.2,50.66,79.17,18.2,6.0,49324
NH,New Hampshire,2000,37.5,49.22,96.14,30.3,3.3,60514
NJ,New Jersey,2000,36.9,48.49,74.81,31.0,5.2,65499
NM,New Mexico,2000,34.7,48.6,69.95,24.4,7.5,40016
NY,New York,2000,36.0,47.9,69.71,28.1,5.6,52331
NC,North Carolina,2000,35.7,48.66,72.93,22.0,5.0,44597
ND,North Dakota,2000,36.4,49.69,92.25,22.9,4.4,42968
OH,Ohio,2000,36.3,48.47,85.53,20.5,5.0,48943
OK,Oklahoma,2000,35.6,48.68,75.69,20.2,5.9,40852
OR,Oregon,2000,36.4,49.15,89.19,25.7,6.6,46347
PA,Pennsylvania,2000,38.1,48.23,86.19,22.7,5.3,48412
RI,Rhode Island,2000,37.1,48.18,85.06,25.4,4.5,54103
SC,South Carolina,2000,35.8,48.25,67.74,23.2,5.2,43848
SD,South Dakota,2000,35.8,49.6,94.04,23.5,3.4,44673
TN,Tennessee,2000,35.9,48.59,80.68,20.8,5.8,44412
TX,Texas,2000,32.4,49.22,75.54,23.5,5.7,45591
UT,Utah,2000,27.3,49.83,91.02,26.6,6.1,51290
VT,Vermont,2000,38.3,49.08,97.13,28.3,3.4,48073
VA,Virginia,2000,36.0,48.43,73.44,30.1,4.2,55057
WA,Washington,2000,35.6,49.42,81.7,29.4,5.5,54637
WV,West Virginia,2000,39.2,48.59,95.33,14.3,6.5,35029
WI,Wisconsin,2000,36.2,49.3,88.64,22.6,4.4,52195
WY,Wyoming,2000,36.6,50.14,92.41,24.2,4.7,46982
AL,Alabama,2001,36.2,48.16,71.33,19.4,7.6,18368
AK,Alaska,2001,32.6,51.19,69.37,25.8,6.9,24327
AZ,Arizona,2001,33.7,49.3,76.19,23.3,6.8,20215
AR,Arkansas,2001,36.2,48.4,80.78,18.0,6.7,17190
CA,California,2001,33.0,49.44,66.28,28.2,6.9,23724
CO,Colorado,2001,34.4,49.88,85.18,33.8,5.1,24637
CT,Connecticut,2001,38.4,48.49,83.17,32.8,5.2,30153
DE,Delaware,2001,36.5,48.32,75.82,24.9,4.5,23776
District of Columbia,District of Columbia,2001,35.5,46.98,29.29,42.3,7.8,30926
FL,Florida,2001,38.8,48.55,78.59,23.9,6.3,21515
GA,Georgia,2001,33.3,48.82,66.18,24.7,5.8,21397
HI,Hawaii,2001,36.7,49.72,24.67,26.6,6.0,22432
ID,Idaho,2001,33.6,49.51,92.11,22.4,6.7,17438
IL,Illinois,2001,35.4,48.7,74.68,27.7,7.2,24277
IN,Indiana,2001,36.3,48.98,87.86,20.3,5.9,21172
IA,Iowa,2001,37.1,49.11,93.89,22.6,4.9,20236
KS,Kansas,2001,36.4,49.19,86.49,27.1,4.5,21110
KY,Kentucky,2001,36.3,48.62,89.99,18.1,6.7,18109
LA,Louisiana,2001,34.1,48.08,63.98,19.3,8.1,17369
ME,Maine,2001,40.1,48.75,96.93,22.4,5.0,20563
MD,Maryland,2001,36.2,48.13,63.55,32.8,5.3,27075
MA,Massachusetts,2001,37.6,48.09,85.62,35.6,5.0,28842
MI,Michigan,2001,36.3,48.8,80.49,23.2,6.8,22959
MN,Minnesota,2001,36.4,49.48,89.45,28.3,4.2,24717
MS,Mississippi,2001,34.1,47.93,61.4,18.9,8.6,16449
MO,Missouri,2001,36.6,48.53,84.9,23.0,5.4,20663
MT,Montana,2001,38.4,49.83,90.34,25.1,5.7,17270
NE,Nebraska,2001,35.8,49.38,90.14,25.0,4.3,20703
NV,Nevada,2001,34.9,50.43,79.18,18.7,5.8,22348
